,year_film,year_ceremony,ceremony,category,name,film,winner,rating,genre,sentiment,subjectivity,average_likes,average_retweets,film_count,nominee_count
0,1927,1928,1,ACTOR,Richard Barthelmess,The Noose,False,,drama,0.2841666666666667,0.43622222222222223,52.900000000000006,6.8,1,1
1,1927,1928,1,ACTOR,Emil Jannings,The Last Command,True,3.97,history,0.31527777777777777,0.3389444444444444,4.500000000000001,0.8,2,1
2,1927,1928,1,ACTRESS,Louise Dresser,A Ship Comes In,False,2.66,drama,0.642409523809524,0.5001746031746033,3.1000000000000005,1.0,1,1
3,1927,1928,1,ACTRESS,Janet Gaynor,7th Heaven,True,3.68,romance,0.3122619047619048,0.2974523809523809,7.9,0.7,5,2
4,1927,1928,1,ACTRESS,Gloria Swanson,Sadie Thompson,False,3.56,romance,0.5470833333333334,0.3940277777777777,11.7,2.1,1,3
5,1927,1928,1,ART DIRECTION,Rochus Gliese,Sunrise,False,3.30,drama,0.3432990620490621,0.5995436507936509,19.2,3.9,4,1
6,1927,1928,1,ART DIRECTION,William Cameron Menzies,The Dove,True,,romance,0.15730429292929296,0.4442550505050505,11.6,2.2,2,2
7,1927,1928,1,ART DIRECTION,Harry Oliver,7th Heaven,False,3.68,romance,0.3122619047619048,0.2974523809523809,7.9,0.7,5,2
8,1927,1928,1,CINEMATOGRAPHY,George Barnes,The Devil Dancer,False,,drama,0.1308181818181818,0.22766666666666668,1.0,0.2,1,6
9,1927,1928,1,CINEMATOGRAPHY,Charles Rosher,Sunrise,True,3.30,drama,0.3432990620490621,0.5995436507936509,19.2,3.9,4,5
10,1927,1928,1,CINEMATOGRAPHY,Karl Struss,Sunrise,True,3.30,drama,0.3432990620490621,0.5995436507936509,19.2,3.9,4,3
11,1927,1928,1,DIRECTING (Comedy Picture),Lewis Milestone,Two Arabian Knights,True,3.14,adventure,0.5719791666666667,0.36791666666666667,4.3,0.9000000000000001,1,3
12,1927,1928,1,DIRECTING (Comedy Picture),Ted Wilde,Speedy,False,3.80,family,0.3025757575757576,0.4476262626262626,24.8,1.4000000000000001,1,1
13,1927,1928,1,DIRECTING (Dramatic Picture),Frank Borzage,7th Heaven,True,3.68,romance,0.3122619047619048,0.2974523809523809,7.9,0.7,5,2
